taxa,station_type,median_dens_by_m3,sd_dens_by_m3
Small copepods,target,2528.358029,13603.71766365179
Calanidae,target,2079.716435,11629.184768952466
Small copepods,station,1591.898254,3805.134735488374
Calanidae,station,890,5427.799685476053
other,station,672.0905554,3303.9898049276558
other,target,347.8363401,5572.507261448795
Metridinidae,station,193.7624008,2265.0785135972374
Bivalvia,station,136.1655773,7401.245196934233
Centropagidae,station,133.3333333,2442.240421359038
Centropagidae,target,84.73977826,52795.351594490465
Metridinidae,target,83.073394,5111.997478160233
Bivalvia,target,0.676189957,3635.372625795733
Candaciidae,station,0,3.3804922248219946
Candaciidae,target,0,30.63911925936595
Eucalanidae,station,0,59.87252646009808
Eucalanidae,target,0,61.32205534575294
Euphausiidae,station,0,15.515967758724765
Euphausiidae,target,0,234.14649391860578
